Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
Human Sexuality,PSYC,2306,,PSYC 2306,PSYC 2306,,,PSYC 2306,,PSYC 2306,,,,,,PSYC 2306,PSYC 2306,,PSYC 2306,,,,,,,,PSYC 305,,PSYC 2306,,PSYC 2306,PSYC 2306,,,PSYC 2330,PSYC 2306,PSYC 2306,,,,PSYC 2306,,,,,PSYC 2306,,,,PSYC 2306,,,,,,,,PSYC 2306,,PSYC 2306,PSYC 2306,PSYC 2306,PSYC 2306,PSYC 2306,PSYC 2306,,PSYC 2306,PSYC 2306,PSYC 2306,,,,PSYC 2306,,PSYC 2306,,,PSYC 2306,PSYC 2306,,,,PSY33 484,,PSYC 2306,PSY 153,PSY 2309,,PSYC 2306,,,,,PSY 2306,,,PSYC 2306,,,,,,,,,PSY 2311,HLTH 1305,PSY 2348,HS 2373,PSYC 2306,PSYC 2306,,,SOS 2308,,,,,PSYC 1999,,PSYC 2317,PSY 306,,PSYC 2305,,,,,,,,,,PSYC 2306,,,PSYC 2306,SOCI 3300
Adolescent Psychology,PSYC,2307,,PSYC 2307,,,,,,,PSYC 2307,,,,,,,,,,,,,,,,,,,,,,,,,PSYC 2307,,,,,,,,PSYC 2307,,,,,,,,,,,,,,,,,,PSYC 2307,,PSYC 2307,,,PSYC 2307,,,,,,,,,,,,PSYC 2307,,,,PSY33 003,,,,,,,,,,,,,,,,,,,,,,,,PSY 2305,,PSY 2633,,,PSYC 2351,,,,,,,PSYC 1999,,,,,,,,,,,,,,PSYC 2305,PSYC 2307,,,,
Child Psychology,PSYC,2308,,PSYC 2308,PSYC 2308,PSYC 2308,,PSYC 2308,,PSYC 2308,PSYC 2308,PSYC 2308,,,,PSYC 2308,,,,,,,,,,,,,,,PSYC 2308,,,PSYC 2308,,PSYC 2308,PSYC 2308,,,,,,,PSYC 2308,,PSYC 2308,,,,PSYC 2308,,,,,,,,PSYC 2308,,,,PSYC 2308,,PSYC 2308,PSYC 2308,,PSYC 2308,,PSYC 2308,,PSYC 2308,,,,PSYC 2308,,,PSYC 2308,PSYC 2308,,,,PSY33 344,,PSYC 2308,,,PSYC 2308,PSYC 2308,PSYC 2308,PSYC 2308,,,,,,PSYC 2308,PSYC 2308,PSY 231,PSYC 2308,,,,,,,PSY 2301,,,PSYC 2308,,PSYC 2350,,,,,,,PSYC 1999,,,PSY 304,,,,,,,,,,PSYC 2308,PSYC 2306,,,PSYC 2308,,
Lifespan Growth & Development,PSYC,2314,PSYC 232,PSYC 2314,PSYC 2314,PSYC 2314,,PSYC 2314,,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,PSY 352,PSYC 2314,PSYC 2314,,PSYC 2314,,,,,,,,PSYC 307,PSYC 2314,PSYC 2314,,PSYC 2314,PSYC 2314,PSYC 2300,PSYC 2314,,PSYC 2314,PSYC 2314,,,PSYC 2314,PSYC 2314,PSYC 2314,,PSYC 2314,PSYC 2315,PSYC 2314,PSYC 2314,PSYC 2143,,PSYC 2314,,,,,,PSYC 2314,PSYC 2360,PSYC 2314,,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,,PSYC 2314,PSY 341,PSYC 2314,,PSYC 2314,,PSYC 2314,,PSYC 2314,,,PSYC 2314,PSYC 2314,,PSY 2326,PSYC 2314,PSY33 344,,PSYC 2314,,PSY 2310,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,,,PSYC 2314,,,PSYC 2314,,PSYC 2314,,PSYC 2314,,,,,HDFS 2303,,PSY 1603,PSYC 2314,PSYC 2314,,PSYC 2314,PSY 2310,,PSYC 2311,,,PSYC 1999,,,,PSY 2314,PSYC 2310,PSY 2503,PSYC 2320,,,,PSYC 2370,,PSYC 2314,PSYC 2301,PSYC 2314,PSYC 2314,PSYC 2314,PSYC 2314,
Psychology Of Adjustment,PSYC,2315,,PSYC 2315,PSYC 2315,PSYC 2315,PSY 2315,PSYC 2315,,,,PSYC 2315,,,PSY 351,PSYC 2315,PSYC 2315,,PSYC 2315,,,,,,,,,,PSYC 2315,,PSYC 2315,PSYC 2315,,PSYC 2315,,PSYC 2315,PSYC 2315,,,PSYC 2315,PSYC 2315,,,,,,,,,PSYC 2315,,,,,,PSYC 2315,,,,PSYC 2315,PSYC 2315,PSYC 2315,PSYC 2315,,,,,PSY 340,PSYC 2315,,,PSYC 2315,,,PSYC 2315,,,,PSYC 2315,,PSY 1320,PSYC 2315,PSY33 003,,PSYC 2315,PSY 143,,PSYC 2315,PSYC 2315,PSYC 2315,PSYC 2315,,,PSY 2315,,,,,,,,,,,,,,,PSY 1082,PSYC 2315,,,,PSY 2306,,,PSYC 2480,PSYC 2480,PSYC 1999,,,,,,,,,,,,,PSYC 2315,,PSYC 2315,PSYC 2315,PSYC 2315,,
Psychology of Personality,PSYC,2316,,PSYC 2316,,,,PSYC 2316,,PSYC 2316,PSYC 2316,PSYC 2316,,,,PSYC 2316,PSYC 2316,,PSYC 2316,,,,,,,,,,PSYC 2316,,,,,,,PSYC 2316,,,,,,,,,,,,PSYC 2163,,PSYC 2316,,,,,,PSYC 2316,,,,,,PSYC 2316,,PSYC 2316,,,PSYC 2316,,,,,,PSYC 2316,,,,,PSYC 2316,PSYC 2316,,,,PSY33 334,,PSYC 2316,,,,PSYC 2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PSYC 1999,,,PSY 309,,PSYC 2306,PSY 2523,,,,,,,,,PSYC 2316,,PSYC 2316,,
Statistical Methods in Psychology,PSYC,2317,,PSYC 2317,,,,PSYC 2317,,PSYC 2317,,,,,PSY 353,PSYC 2317,,PSYC 2301,,,,,,,,,PSYC 2317,,PSYC 2317,,PSYC 2317,,,,PSYC 2301,PSYC 2317,,PSY 2351,,,,,,,PSYC 2317,PSYC 2317,PSYC 2317,,,PSYC 2317,,,,,,,,,,,,PSYC 2317,,PSYC 2317,,,,,,,,,PSYC 2317,,PSYC 2317,,,,PSYC 2317,,,,PSY33 003,,PSYC 2317,,PSY 2307,,,,,PSYC 2317,,,,,,PSYC 2317,,PSYC 2317,,,,,,PSY 2301,,,PSY 2303,,PYSC 2317,,,,,,,,PSYC 1999,PSYC 2302,,PSY 317,PSY 2317,PSYC 1303,,,,,,,,,,,,,,
Social Psychology,PSYC,2319,,PSYC 2319,PSYC 2319,,PSY 2319,PSYC 23219,,PSYC 2319,,,PSYC 2319,,PSY 360,PSYC 2319,PSYC 2319,,PSYC 2319,,,,,,,,PSYC 2319,,PSYC 2319,,PSYC 2319,PSYC 2319,,PSYC 2319,,PSYC 2319,PSYC 2319,,,,PSYC 2319,,,,,,,,,PSYC 2319,,,,,,PSYC 2319,,PSYC 2319,,PSYC 2319,PSYC 2319,PSYC 2319,PSYC 2319,PSYC 2319,PSYC 2319,,PSYC 2319,PSYC 2319,,,,,PSYC 2319,,PSYC 2319,,,PSYC 2319,PSYC 2319,,,PSYC 2319,PSY33 564,,PSYC 2319,,PSY 2304,,PSYC 2319,PSYC 2319,PSYC 2389,,,,PSYC 2319,,,,,,,,,,,,,,PSY 2023,PSYC 2319,PSYC 2319,,,PSY 2302,,,,,PSYC 1999,,,PSY 319K,,PSYC 2302,PSY 2533,,,,,,,PSYC 2319,,,,PSYC 2319,PSYC 2319,PSYC 2322
Academic Cooperative,PSYC,2389,,PSYC 2389,,,,PSYC 2389,,,,,,,PSYC 2389,,PSYC 2389,,,,,,,,,,,,,,,,,PSYC 2389,,PSYC 2389,,,,,,,,,,,,,,,,,,,,PSYC 2389,,,,,,,PSYC 2389,PSYC 2389,,,,,,,,,PSYC 2389,,,,,,,,,,,,,,,,,,PSYC 2389,,,,,,,,,,,PSYC 2389,,,,,,,,,PSYC 2389,,,,,,,,PSYC 1000,,,,,,,,,,,,,,,PSYC 2389,,,,
Nursing Skills I,RNSG,1105,,,,,,RNSG 1105,,,,,,,,RNSG 1105,,,,,,,,,,,,,,,RNSG 1105,,,,,RNSG 1105,,,,,,,,,,,,,,RNSG 1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1105,,,,,,,,,,,RNSG 1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,RNSG 1105,,,,,,,
Integrated Nursing Skills I,RNSG,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Integrated Nursing Skills II,RNSG,1129,,RNSG 1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Nursing Skills II,RNSG,1144,,,,,,,,RNSG 1144,,,,,,RNSG 1144,,,,,,,,,,,,,,,RNSG 1144,RNSG 1144,,,,RNSG 1144,,,,,,,,,,,,,,RNSG 1144,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1144,,,RNSG 1144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Care of the Childbearing Family,RNSG,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Nursing Skills I,RNSG,1205,,,,RNSG 1205,,,,RNSG 1205,RNSG 1205,,,,,RNSG 1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1205,,,,,,,,,,,,,,,,,,,,,RNSG 1205,,,,,,,,,,,,,,RNSG 1205,,,,,,,,RNSG 1205,,,,,,,,,,RNSG 1205,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introduction to Nursing,RNSG,1209,,,,,,,,,RNSG 1209,,,,,RNSG 1209,,,,,,,,,,,RNSG 1209,,,,,,,,,,RNSG 1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1209,,,,RNSG 1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,RNSG 1209,,,,,,,
Integrated Nursing Skills I,RNSG,1219,,RNSG 1219,,,,,,,,,RNSG 1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1219,,,,,,,,,,,RNSG 1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introduction to Professional Nursing for Integrated Programs I,RNSG,1222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introduction to Professional Nursing for Integrated Programs II,RNSG,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Integrated Nursing Skills II,RNSG,1229,,,,,,,,,,RNSG 1229,RNSG 1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Principles of Clinical Decision-Making I,RNSG,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Principles of Clinical Decision-Making II,RNSG,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Nursing Skills II,RNSG,1244,,,,,,,,,RNSG 1244,,,RNSG 1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concepts of Clinical Decision-Making I,RNSG,1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Concepts of Clinical Decision-Making II,RNSG,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Care of the Childbearing Family,RNSG,1251,,,,,,,,,,,,,,RNSG 1251,,,,,,,,,,,,,,,,,,,,RNSG 1251,,,,,RNSG 1251,,,,,,RNSG 1251,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1251,,,,,,,,,,,,,,,RNSG 1251,,,,,,,,,,RNSG 1251,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introduction to Nursing,RNSG,1309,,,,RNSG 1309,,,,,,,,,,RNSG 1309,,,,,,,,,,,,,,,,,,,,,RNSG 1309,,,,,,,,,,,,,RNSG 1309,,,,,,,,,,,,,,,,,,RNSG 1309,,,,,,,,,,,,,,,,,,,,,,RNSG 1309,,,,,,,,,,RNSG 1309,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Principles of Clinical Decision-Making (1 semester course),RNSG,1331,,,,,,,,,,RNSG 1331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1331,,,,,,,,,,RNSG 1331,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Common Concepts of Adult Health,RNSG,1341,,,,RNSG 1341,,RNSG 1341,,RNSG 1341,RNSG 1341,,,RNSG 1341,,RNSG 1341,,,,,,,,,,,RNSG 1341,,,,,,,,,,,,,,,,,,,,,,,RNSG 1341,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Complex Concepts of Adult Health,RNSG,1343,,,,RNSG 1343,,,,RNSG 1343,RNSG 1343,,,RNSG 1343,,RNSG 1343,,,,,,,,,,,RNSG 1343,,,,,,,,,,RNSG 1343,,,,,,,,,,RNSG 1343,,,RNSG 1343,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1343,,,,,,,RNSG 1343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Concepts of Clinical Decision-Making (1 semester course),RNSG,1347,,,,,,,,,,RNSG 1347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1347,,,,,,,,,,RNSG 1347,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Nursing Care of the Childbearing & Childrearing Family,RNSG,1412,,,,RNSG 1412,,RNSG 1412,,RNSG 1412,,RNSG 1412,,RNSG 1412,,,,,,,,,,,,,,,,,,,,,,RSNG 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,RNSG 1412,,,,,,,
Foundations for Nursing Practice,RNSG,1413,,,,,,RNSG 1413,,RNSG 1413,,RNSG 1413,,RNSG 1413,,,,,,,,,,,,,RNSG 1413,,,,RNSG 1413,RNSG 1413,,,,RSNG 1413,,,,,RNSG 1413,,,,,,RNSG 1413,,,,,,,,,,,,,RNSG 1413,,,,,,,,,,,,,,,RNSG 1413,,,,,,,RNSG 1413,,,,,,,RNSG 1413,,,,,,,,,,,RNSG 1413,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introduction to Professional Nursing for Integrated Programs (1 semester course),RNSG,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Principles of Clinical Decision-Making (1 semester course),RNSG,1431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Common Concepts of Adult Health,RNSG,1441,,,,,,,,,,,,,,RNSG 1441,,,,,,,,,,,,,,,RNSG 1441,,,,,RNSG 1441,,,,,RNSG 1441,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1441,,,,,,,,,,RNSG 1441,,,,RNSG 1441,,,,,,,RNSG 1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,RNSG 1441,,,,,,,
Complex Concepts of Adult Health,RNSG,1443,,,,,,RNSG 1443,,,,,,,,RNSG 1443,,,,,,,,,,,,,,,RNSG 1443,,,,,,,,,,RNSG 1443,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1443,,,,,,,,,,RNSG 1443,,,,,,,,,,,RNSG 1443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,RNSG 1443,,,,,,,
Concepts of Clinical Decision-Making (1 semester course),RNSG,1447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Nursing Care of the Childbearing & Childrearing Family,RNSG,1512,,RNSG 1512,,,,,,,,,,,,,,,,,,,,,,,RNSG 1512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Foundations for Nursing Practice,RNSG,1513,,,,,,,,RNSG 1513,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introduction to Professional Nursing for Integrated Programs (1 semester course),RNSG,1523,,RNSG 1523,,,,,,,,,RNSG 1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Care of Children & Families (1 semester course),RNSG,2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Care of Children and Families I,RNSG,2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Care of Children and Families II,RNSG,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Mental Health Nursing I,RNSG,2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Mental Health Nursing II,RNSG,2114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Care of Children & Families (1 semester course),RNSG,2201,,,,,,,,,RNSG 2201,,,,,RNSG 2201,,,,,,,,,,,,,,,RNSG 2201,,,,,RNSG 2201,RNSG 2201,,,,RNSG 2201,,,,,,RNSG 2201,,,RNSG 2201,,,,,,,,,,RNSG 2201,,,,,,,,RNSG 2201,,,,,,,RNSG 2201,,,,,,,RNSG 2201,,,,,,,RNSG 2201,RNSG 2201,,,,,,,,,,RNSG 2201,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Integrated Care of the Client w/Common Health Care Needs I,RNSG,2203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Integrated Care of the Client w/Common Health Care Needs II,RNSG,2204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Maternal/Newborn Nursing & Women's Health,RNSG,2208,,,,,,,,,RNSG 2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 2208,,,,,,,,,,,,,RNSG 2208,,,,,RNSG 2208,,,,,,,,,,,,,,RNSG 2208,,,,,,,RNSG 2208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mental Health Nursing (1 semester course),RNSG,2213,,,,RNSG 2213,,RNSG 2213,,RNSG 2213,RNSG 2213,RNSG 2213,,RNSG 2213,,RNSG 2213,,,,,,,,,,,RNSG 2213,,,,RNSG 2213,,,,,RNSG 2213,RNSG 2213,,,,RNSG 2213,,,,,,RNSG 2213,,,RNSG 2213,,,,,,,,,,RNSG 2213,,,RNSG 2213,,,,,RNSG 2213,,,,,,,RNSG 2213,,,,,,,RNSG 2213,,,,,,,RNSG 2213,RNSG 2213,,,,,,,,,,RNSG 2213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 2213,,,,,,,
Maternal/Newborn Nursing & Women's Health,RNSG,2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 2308,,,,,,RNSG 2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Mental Health Nursing (1 semester course),RNSG,2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 2313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Integrated Care of the Client w/Common Health Care Needs (1 semester course),RNSG,2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNSG 2404,,,,,RNSG 2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
